id,价格,评价,评价日期,票务类型,评论,,
吉姆天上飞,280,4,2021.11.25,三清山风景名胜区成人票-门票+上行下行索道票(金沙与双溪通用),【环境】非常干净，几乎看不到什么垃圾；【交通】非常方便，我们是自驾出行，唯一不满意的就是39元停车费，不商议；【项目】导游热情，我们请了一位当地大叔做全程导游，说实话，为全行程增添很多乐趣，所有人都没有拉队，全部跑完大圈；【餐饮】干净还错，偏咸微辣型的，总体还算和我们大家的口味；,,
dXT712867474,280,5,2021.10.07,三清山风景名胜区成人票-门票+上行下行索道票(金沙与双溪通用), ,,
匿名用户,280,4,2021.10.25,三清山风景名胜区成人票门票+上行下行索道票(金沙与双溪通用),「西海岸风景区」「阳光海岸景区」「三清宫景区」「南清园」道教名山，7h，美景，美心～值得！尤其推荐‘一线天‘～又窄又陡又长，很有意思！,,
gzG403464045,280,5,2021.10.25,三清山风景区成人票-门票+上行索道票,选胜园林兴未阑，拿舟飞出小溪湾。光摇一碧回环水，翠挹三清远近山。似惜雨晴天恰好，真忘名利日长闲。松筠不锁神仙境，携得烟霞满袖还。,,
匿名用户,280,1,2021.10.04,学生票（学子卡）-上饶4A级及以上旅游景区通用,第一，存在宰客嫌疑美团上预约了学子卡，到售票大厅却说无效，既然美团上的无法使用，那为什么平台会有这个选项？？？而且美团平台也没有任何提示要在小程序上预约！！窗口工作人员说美团上预约的无法登记入系统，二维码无效，那为什么在我们向上级反映之后就可以了呢？难道就因为领导的一句话二维码就生效了？？？第二，工作人员服务态度极差就学子卡问题，窗口工作人员并没有积极帮助我们解决这个问题，而是让我们买票或者在小程序上预约第二天的！请问我们大老远过去你觉得我们会重新约第二天的吗？？？这不是摆明了让我们买票？？？而且登记之后，售票窗口的工作人员将身份证件丢出来的，真的是用丢的！！还有缆车出口处，贩卖的东西，不买千万别碰哦！！！就只是碰了一下下，销售人员就语气特别不好地说“不买就别碰！”第三，景区风景单一说白了就是爬上去看石头，当然，可以享受爬上去的过程，爬山图的不就是一个累字嘛第四，一定要维护自己的权益广大的江西学子们，遇到类似美团已预约景区却不认可的情况，在确定不是自己过错的前提下，一定要维护自己的权益！！！可以打电话向管理部门反映，一个电话不能解决就多打几个电话，一个部门不能解决就多反映几个部门！！！,,
iCK15558152191,280,2,2021.10.05,三清山风景名胜区成人票门票+上行下行索道票(金沙与双溪通用), ,,
匿名用户,280,1,2021.10.04,None,售票处人员的态度真的超级超级超级差美团上有学子卡活动(学子卡是有预约时间的并且在美团上并没有提醒说要去另外的小程序去预约)但是售票处人员居然直接说不认可（态度很不好跟我欠她八百万似的）并且说你们要么就门票和索道票一起买要么就预定明天的如果说只承认云游江西的买票活动为什么要在美团上进行售票(非常迷惑性行为)后面美团客服介入并没有解决，然后又打了景区的各种热线，态度还不错至少给我们解释了原因后面说可以给我们使用他们那边再去联系云游江西非常恶心的点来了！！！售票处的人员给我们使用了学子卡后直接一甩我们的身份证，不知道我以为三清山是她家的，跟我不花钱进她家了一样风景我只能说一般吧也可能这个季节不合适然后山上水十元二十元一瓶建议自己带两瓶还有一些路牌可能太久没换了指的都不对真想爬山建议换个地方,,
a一只老母猪,280,3,2021.10.31,三清山风景名胜区成人票门票+上行下行索道票(金沙与双溪通用),风景没得说，绝对OK的，只是景区内的路口指示牌明显没怎么起到作用，基本没什么用，很多已经老化看不清楚，得靠问路才知道怎么走，还有一个景区卫生间明显不够，也没有饮水机可以用，现在很多景区都有免费的饮水机可以供游客使用了。,,
wZQ779686216,280,4,2021.09.25,三清山门票+索道上行（金沙与双溪通用）成人票,奇峰美景，很难忘的一次历程。玻璃栈桥还是挺壮观的，为了看日落，等到很晚，可惜日落不给力，留了遗憾，索道也关了，只能走夜路下山了，夜路是真的夜路！没有灯，全靠手手机电筒照路，能清晰听到山里小动物的声音，路也不太好找，如果下山路能有路灯就好了,,
吉姆天上飞,280,4,2021.11.25,三清山风景名胜区成人票-门票+上行下行索道票(金沙与双溪通用),棒棒的，空气很好，景色也很独特 ，天然景观，喜欢,,
