id,价格,评价,评价日期,票务类型,评论,,
Idt656971939,350,5,2021.11.21,九寨沟景区非法定节假日门票+观光车票（60岁以上老人票）,九寨沟在这个秋天，绽放出流光溢彩的芳华，美成一场琉璃幻境……山峦间流云缭绕，山林里黄叶似金、红叶如火，倒映在明丽的湖水中，将湛蓝碧绿的海子映衬得五彩斑斓，在秋日暖阳下显得分外灵动。被世人誉为“人间仙境”，更宛如“童话世界”。金秋十月，我终于如愿打卡了神往已久的九寨沟。,,
漂移的梦想0129,350,4,2021.11.21,九寨沟景区门票+观光车票（成人票）,设施不错，不愧是5A级景区，19年摩旅到附近没有去看看，怕因为地震没有修复好，今年开车来，带着女朋友去看看吧。去的早，公交车是烧油的，由于地震，上面更高的景点没有开放，修复难度极高。所以日则沟方向最高是五花海，长海方向没有问题，看的多了，树正沟的那些个海都不想看了，感觉都差不多，7月去的，感觉不如秋季，秋季肯定更好看,,
”剑封“,350,5,2021.10.19,九寨沟景区门票+观光车票（成人票）,17号穷游的野驴一枚，从绵阳坐大巴十小时（110）看培江风景，（绵阳有圣水寺）九寨沟里可以玩两天票提前买，之后去黄龙当天可以回来，九寨沟坐大巴十小时（160元）去成都一路看岷江风景（成都您可这玩去了不亏）。17号山上没有红叶过十天估计差不多，羽绒服加半袖就行，当地人开的民宿一晚上100开空调加20。吃饭38/88一盘菜，沟里有自助售卖机可以买水，桶面也不贵（15）。我全是自带，建议一个景点一小时，少拍照多赏景，诺日狼瀑布比西游记打卡地漂亮。。。省时间黄龙来回坐飞机（机票成－九来回3200）吃的也有更贵的，酒店也有更贵的便宜的,,
戒指松了……,350,5,2021.11.18,九寨沟景区门票+观光车票（成人票）,这辈子，心心念念的九寨沟终于来了！国庆节去的，人山人海，但是景色真的很好看，真的是太美了！尤其是五彩池，还有其他地方，都很好看！拍照一定穿个大红裙，特别应景！拍出来也漂亮，当然也需要一个会拍照的人。总之真的好美，值得一去！,,
嚻嚻鱼,350,5,2021.10.07,九寨沟景区门票+观光车票（成人票）,九寨沟景区内景点是呈现为Y字形的，如果喜欢看山，可以先行原始森林路线，如果喜欢看水先走长海和五彩池路线。中间换成的点都在诺日朗瀑布，要去五彩池，要穿过一个购物广场，才能抵达乘车点。国庆第五天进的景区，门口非常有序的就能直接刷身份证进入，不需要排很长的队伍。每2分钟就有一辆空车搭乘游客，景区内游玩非常方便，不会有很久等待时间，随处可见的洗手间，如果一个地方在排队一定不要太执着，换一个地方就很空了。景色:美的没话说，只想把眼睛变成摄像头,,
野欲8004,350,5,2021.10.25,九寨沟风景区门票+观光车票（学生票）,「五彩池」「长海」「箭竹海」「珍珠滩」「珍珠滩瀑布」「诺日朗瀑布」都说“黄山归来不看山，九寨归来不看水”不得不说虽然是第一次去九寨沟景区，但是九寨沟的景色是真的很美，我的运气比较好，是个大晴天，看到的景色都是在阳光照耀下显得格外美丽，一路上都能听到很多游客对九寨沟的赞美，只是没能看景区里的红叶，真的有点遗憾，其他的景点都是很漂亮的，这次的旅行很值得,,
RSE635174660,350,4,2021.10.01,九寨沟景区门票(成人票)+观光车+沟口酒店至景区往返专车,九寨沟之旅，名不虚传。水清的如同自来水。现在去九寨沟旅游真的太好了，一路观光车送到山顶，看完一个景点，不想走路可以直接坐车去下一个景点。非常方便。全程游完3个沟也就是下午17.00左右。体力好的人16.00就差不多了。注 ：九寨沟沟里现在没有住宿的地方。门票都是一天时间。第二天还想进去的要重新买票。成都出发，网上订票可以在茶店子客运站上车，也可以成都东客站上车。票价157RMB。回城可以直接在车上买票150元。哪天回成都前一天晚上一个电话，第二天早晨客车到酒店门口接你。这个太赞了。,,
宇华哒哒哒,350,5,2021.10.02,九寨沟景区门票+观光车票（成人票）,自驾游七天6夜的第一站——九寨沟这次游览的最强感受就是美＋累＋饿！美丽真的不用再说了，从来没有见过这么清的水，这么蓝的天，这么美的海子。从上午到下午都是在车上坐着，到点了就下去拍照浏览，上午还是很惊喜的，下午就感觉有些千篇一律，审美疲劳，累了，在车上睡着不想动。最重要的就是【买吃的】九寨沟内的午餐有套餐饭(一人60－90不等)，于是我们选择了泡面15块钱一碗。其他游客很多带了自热火锅米饭等，看的流口水哈哈哈。有很多零食售卖机，里面也有很多，但是价格都会贵一丢丢。本来想写个攻略的，太懒了，不想写了。,,
wing因,350,4,2021.10.03,九寨沟景区门票+观光车票（成人票）,原图无p。【环境】水是真的非常漂亮，每个海子都有其独特的颜色，加上一些介绍的传说故事，当你真正身处其中，用肉眼去感受时，才有那种“哇 这是真实存在的啊”的感慨。一直以为网上的图片视频多少都有调色，但真的没有，甚至我要说，我拍的以下原图，根本没有达到真实美丽的十分之一，借用其他方式欣赏不可能百分百复制亲身所见。【交通】去的算早，但毫不意外还是堵车了，景区附近停车场饱和，建议计划高峰出游的朋友们要么停距景区3公里的停车场，然后排队坐公交到景区，要么七点之前到景区找车位，要么提前一晚住在景区附近。只算参考。【项目】建议看看网上介绍选几个想看的去看吧，进景区的时候坐车的左边，可以看到“y”下部分的多个景点。【餐饮】景区外很多餐馆，都是明码标价，价格不算太贵。,,
少数派SIMON,350,5,2021.10.26,九寨沟景区门票+观光车票（成人票）,非常成熟的景点，服务非常不错，敏感时期管理到位。由于刚好下雪，看到了雪挂。层林尽染，碧水蓝天，美景令人流连忘返。一天之内，游览了整个景区虽然有点累，但是心情非常美好，明天离开九寨沟前往黄龙，又是美妙的一天,,
王小小kp,350,5,2021.10.20,九寨沟景区门票+观光车票（成人票）,二刷九寨，风景依然美丽，景区太大，根本没有玩尽兴就急急忙忙出来了，还是希望能慢悠悠的用心感受这迷人美景，建议改为可以玩两天的联票，让真正喜欢的人能深入了解九寨沟，爱上九寨沟。停车费实在有点贵，停了一天就是50，有点无语,,
WNN833458936,350,5,2021.11.22,九寨沟景区门票+观光车票（成人票）,一直听别人说，九寨沟是值得一去的地方，终于今年能够过去旅行一下了，我们是十月底过去的，运气非常好，一次性欣赏了九寨沟两个季节的景色，一个秋天，一个冬季，真的好美，这也是我第一个去了还想去的地方，等高速通路后，还会再去的。。。,,
AGn562777174,350,3,2021.10.08,九寨沟景区门票+观光车票（成人票）,10.1下午预订的门票，2号凌晨收到短信预订成功，且规定了入园时间段，10点才能入园。1、停车难（本以为停车场会很大且就在门口，但实际周边比较远的地方才有，且基本已满），停好需步行一段路。2、景区大，人多，时间紧，景点不能一一游玩，只能选择一部分。3、景区门口和内部基本没有能坐的椅子，休息只能坐地上。4、公交站点基本无工作人员维持秩序，游客直接站路边，车一来大家都往上挤。总得来说风景很美的，景区内环保公交上也会对沿途的景点做简要介绍，但一天玩下来很累，一来是要赶时间，一来就是要等公交挤公交。建议要去玩的还是人少的时候去。,,
kJc699532403,350,5,2021.10.27,九寨沟景区门票+观光车票（成人票）,「火花海」「卧龙海」「树正群海」「盆景滩」「树正瀑布」「双龙海」「树正寨」「犀牛海」「上季节海」「老虎海」「下季节海」「五彩池」「长海」「熊猫海」「箭竹海」「天鹅海」「芳草海」「原始森林」「珍珠滩」「珍珠滩瀑布」「五花海」「孔雀河道」流连忘返,,
gloper,350,3,2021.12.02,九寨沟风景区门票+观光车票（双人票）,主要都是乘车，风景都在九寨沟前面的几道拐，景区里面也不怎么样，海拔最高的地方还不能去，去了一次没想过去第二次,,
Kikikitten887,350,5,2021.10.29,九寨沟景区门票+观光车票（成人票）,如果人间有仙境，那一定是九寨。非常值得一来，算下来景区的门票并不贵，一天下来基本玩得差不多了，一天就够。我们来的这天没有太阳也没有下雨，很舒服，可能有阳光会更美吧，景区内自助餐有60元和98元两档，吃了60元档，很油，味道一般，景区内估计都这个价。可以自备一些吃的进来,,
豆芽是个疯子,350,4,2021.10.23,九寨沟景区门票+观光车票（成人票）,游览九寨沟，不仅要懂得保护它，更应该爱惜它！路上难免会遇到工作人员为了把游客丢在景区的垃圾清除，依旧尽职尽责！也希望各位游览九寨沟的游客们别带香烟进入九寨沟避免星星之火可以燎原以及烟灰也是会污染环境的。有机会，我还会来九寨沟的！虽然没能去看黑海，下次一定会有机会的吧！九寨沟的美，用手机、用相机都表达不出来，应该是用心感受！,,
YIp14623690,350,3,2021.10.16,九寨沟景区门票+观光车票（成人票）, ,,
吻过无痕32,350,4,2021.12.01,九寨沟景区门票+观光车票（成人票）,淡季价格实惠，就是不能够自由安排行程「五彩池」「珍珠滩瀑布」「诺日朗瀑布」「五花海」「熊猫海瀑布」,,
PYBLZY0116,350,5,2021.11.18,九寨沟景区门票+观光车票（成人票）,「五彩池」「长海」「熊猫海」「箭竹海」「天鹅海」「芳草海」随手一拍都是大片！,,
史上最帅的男人哟,350,5,2021.10.22,九寨沟景区门票+观光车票（成人票）,「芦苇海」「火花海」「树正瀑布」「盆景滩」「犀牛海」「长海」「五彩池」「珍珠滩瀑布」「诺日朗瀑布」「五花海」「黑海」真的超级美！个人也臭美了一波～(>^ω^<)下面看景色图！绝对是很值得来玩的景点！(>^ω^<)五花海还有长海～绝美！,,
也不是很爱吃,350,4,2021.10.07,九寨沟景区门票+观光车票（成人票）,帮爸爸买的。九寨沟原始的天然美景，闪烁着迷人的魅力。尤其是****四大名山之一的九寨沟和格尔木的格尔木、甘州、麦积山三大五营古冰川的震撼。更让人心中荡漾着云烟景色。"今天就只说说九寨沟"格尔木冰川格尔木冰川雪层厚度在200米以上，贯穿整个海拔3450米的格尔木盆地，从半月山最南端蓝冰口一直延伸到海拔4290米的蓝冰沟，可见晶莹剔透的冰雪风光。,,
