id,价格,评价,评价日期,票务类型,评论,
地狱渣女LOVE,165,5,2021.10.14,兰州极地海洋世界门票成人票,「海狮剧场」特别有意思哈，【环境】不错，干净整洁利落【交通】方便 还有停车场    里面还有小孩子玩的东西    娱乐设施 【项目】里面的设计各方面都非常不错的 【餐饮】干净  好吃不腻 强烈推荐过来玩儿 而且现在美团上还有活动    特别的优惠 一家人的话 不到300块钱就可以玩的 很高兴 有时间的话 还会再来的 如果能够再增加一些项目  那肯定会更完美,
byp552590058,165,5,2021.10.09,None, ,
DCQ506311200,165,4,2021.10.25,兰州极地海洋世界门票成人票,特别好玩，甘肃最好玩的海洋世界,
cII330687117,165,4,2021.10.04,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,位置还挺好找的，整个店面的话气质并不是很大，里面动物也不算太多，但在内裤地区的兰州来说的话已经很不错了。里面有人鱼表演，海豚还是海狮表演，都挺不错的。只不过海底世界有点小了。价格稍微在便宜一些就更好了。,
匿名用户,165,3,2021.10.12,None, ,
傻傻行家,165,3,2021.12.02,兰州极地海洋世界门票（亲子2大1小票）,【交通】西固往那南山路直达【环境】漂亮，干净【项目】比榆中那边小，设施少【餐饮】只有零食店，烤肠【体验】还行，宝宝挺开心，就是跟海狮合照一次15只是手机拍，有照片就好了,
牛崽哩,165,3,2021.10.18,兰州极地海洋世界门票成人票,带宝宝溜达海洋世界。还不错。虽然不是很大，也有蛮多小动物，进去关注美人鱼和海狮表演时间合理安排时间。这两个我觉得必看。可以喂食，我家宝给鱼和海龟喂食了。工作人员认真负责。,
豆豆晖,165,3,2021.12.01,兰州极地海洋世界门票（亲子2大1小票）,感觉可以    有部分区域在装修   有点味道  其余比较满意,
王德志8605800,165,3,2021.11.09,兰州极地海洋世界门票成人票,节目店里空间非常大，环境氛围非常好，整个过程下来真的非常舒服,
美丽朵77,165,4,2021.11.02,兰州极地海洋世界夜场票成人票,夜场价格划算啊宝宝们玩的很开心！喜欢夜场价格划算啊宝宝们玩的很开心！喜欢夜场价格划算啊宝宝们玩的很开心！喜欢,
AJu861755358,165,4,2021.11.19,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,极地海洋世界，是一个值得带孩子去的好地方。,
hZS140038154,165,4,2021.10.22,兰州极地海洋世界门票成人票,感觉还可以吧，主要是去的时候在维修所以好多没看到有点遗憾,
故乡的桥头,165,3,2021.11.30,兰州极地海洋世界门票成人票,五一休假带孩子去玩的，里面很多好玩的很大，还有人鱼海狮表演，就是我们下午去的有点迟，没有参观完工作人员就下班了。,
哈啦德玛西亚,165,1,2021.10.12,兰州极地海洋世界门票成人票, ,
卡尔伯斯！！！,165,3,2021.12.03,兰州极地海洋世界门票成人票,还可以，建议大家不要在里面让他们给你拍照，100块拍的那啥照片啊，心里老不舒服了。,
SRL901832948,165,3,2021.10.03,兰州极地海洋世界门票成人票,本来国庆去的，人比较多，就看看而已，水里的生物很梦幻，有几处地方需要说一下，一个是免费照相，真的是个坑，大家别被忽悠，演出是几个人穿几件美人鱼的衣服游泳的，把大家还羡慕不行了，总体来说，在西北还合算，南方的话，就太low了，一百四还有点贵，感觉不值这个价。,
cTj636077119,165,5,2021.10.06,兰州极地海洋世界门票成人票,感觉很不错 比蹦迪快乐 很有意思,
VnG386607788,165,5,2021.10.17,兰州极地海洋世界门票成人票,环境不错，项目多，表演精彩，鱼类种类很多，让小孩涨知识,
匿名用户,165,2,2021.11.30,兰州极地海洋世界门票成人票,进去都是人工制造，跟门牌不对称，进去感觉像是忽悠似的，不值得推荐去,
RdM374057066,165,3,2021.11.25,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,热死了里边，人多拥挤，而且海狮标杆排队 美人鱼表演也没看见人太多了 一直在排队，不舒服,
XpB844879354,165,3,2021.12.02,兰州极地海洋世界门票医护人员免费票,很好玩，带孩子去的还不错，水母比较多，登光有点暗,
FoN594881398,165,4,2021.12.02,兰州极地海洋世界门票成人票,和我们家臭宝一起去的，挺喜欢的，建议改进基础设施。,
开心的哈哈啊,165,2,2021.12.02,兰州极地海洋世界门票成人票,和无缘的人第一次去，里面没什么好看的，收费还不低好像,
qBP586694537,165,3,2021.12.02,兰州极地海洋世界门票成人票,入园前均可购买,我们一家三口一起去的，还可以，挺好的一次体验
Bjn349489036,165,1,2021.11.24,兰州极地海洋世界门票成人票,没多少可看的，门票还超级贵！比起西安成都的，简直就天上与地下的区别,
你好story,165,5,2021.10.15,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,非常不错呢，值得一去。,
匿名用户,165,3,2021.11.29,兰州极地海洋世界夜场票儿童/学生/老人/残疾人/军人票,挺好玩的   比较有体验感  弟弟妹妹与小动物们的互动   挺有意思的,
zyg132522147,165,3,2021.11.30,兰州极地海洋世界门票成人票,水母区比较大 周末看表演的人很多,
匿名用户,165,3,2021.11.30,兰州极地海洋世界门票成人票,里面环境一般。动物还可以。服务挺好的,
PHV343842018,165,3,2021.12.01,兰州极地海洋世界门票成人票,很愉快的一天，小贝贝也玩的开心。,
lqi502559188,165,3,2021.11.28,兰州极地海洋世界门票成人票,整体还可以，就是人太多了，选人不多的时候去,
Bjn349489036,165,1,2021.11.24,兰州极地海洋世界门票成人票,去过一次再也不想去第二次的海洋馆，和真真的海洋馆差别太大,
dSm428659710,165,4,2021.12.02,兰州极地海洋世界门票成人票,好,
RdM374057066,165,3,2021.11.25,兰州极地海洋世界门票成人票,应还适当限流，人挤人，太不舒服了，而且空气不好闷,
匿名用户,165,2,2021.11.28,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,太少，门票太贵，不值得推荐，主要太贵,
gue680566257,165,2,2021.11.27,兰州极地海洋世界门票成人票,就是进去的太迟了，好多项目表演没看到，下次再去,
土豆041,165,5,2021.12.02,兰州极地海洋世界门票成人票,好评！,
土豆041,165,5,2021.12.02,兰州极地海洋世界亲子门票（1大1小票）,好评！,
BpZ283768952,165,4,2021.10.02,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,很棒，一定要和会拍照好朋友去一次！拍照绝美！,
爱佳艺454,165,3,2021.11.28,兰州极地海洋世界门票+海狮表演票成人票(地推),入园前均可购买,还不错，值得去看。孩了很喜欢，以后还会再来。
LIH316182439,165,4,2021.12.01,兰州极地海洋世界门票成人票,还行吧,
hui1227,165,3,2021.11.26,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,在大西北能有这么一个也算是可以了,
Bjn349489036,165,1,2021.11.24,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,太差劲了！想看的都没有，门票还贵,
sbO57227513,165,2,2021.11.21,兰州极地海洋世界门票成人票,比起上一次  太逊色了  海豚也不见了  没有大型鱼类  水母也变少了,
Wmj330556169,165,4,2021.11.26,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,很不错，【环境】很好【交通】便利,
匿名用户,165,2,2021.11.26,兰州极地海洋世界门票成人票,很一般没有什么可期待的。啊啊啊啊啊啊啊啊啊,
耳旁的流星,165,4,2021.11.27,兰州极地海洋世界门票成人票,非常不错，孩子很喜欢，值得看看,
ZdV722559967,165,1,2021.11.19,兰州极地海洋世界门票成人票,简直不值这个钱，啥东西都没有，没有什么可以玩的，海洋鱼类太少,
匿名用户,165,4,2021.10.05,兰州极地海洋世界门票成人票,不错，很喜欢，特别是孩子们玩的挺不错的，也有小小的惊喜！,
羊好,165,3,2021.10.04,兰州极地海洋世界门票成人票,还不错，特点就是有个美人鱼表演孩子挺喜欢的,
ppdadada,165,4,2021.10.07,兰州极地海洋世界门票成人票,挺好的，十一去人多是不可避免的，总得来说还不错，停车也比较方便,
匿名用户,165,2,2021.11.25,兰州极地海洋世界门票成人票,呵呵，就这？ 用两字 “就这”来评价吧,
匿名用户,165,4,2021.11.22,兰州极地海洋世界门票+海狮表演票成人票(地推),入园前均可购买,环境优美，服务周到，介绍跟实际一样，真实！
萱萱耀你美X,165,4,2021.09.13,兰州极地海洋世界门票成人票, ,
