id,价格,评价,评价日期,票务类型,评论,
汤圆露馅儿啦,425,5,2021.11.20,华山风景名胜区（徒步登山）门票成人票,进山那天天气不佳，但还是如愿看到了日落和日出 ，我和姐姐爬上去用了挺久时间的，因为我俩走得慢哈哈哈哈，其实是不需要带零食的，我们俩背了可多零食，基本都喂猫了，如果去玩想喂猫可以带点猫粮就好，没必要带食物，因为一路上都有卖，稍微贵点但没有网传那么离谱，爬累了吃完泡面就很知足了。很喜欢爬山。待得算久所以所有峰都爬过了，我们住在北峰。早上五点起床去了东峰看日出，北峰住宿还挺划算的（可能因为没什么游客）我跟姐姐俩个人150元。我爱祖国的大好山河！,
Nozomi_via,425,5,2021.11.21,(地推)华山风景名胜区单程北峰索道票,从西安到华山还算方便。最方便省时的，首推高铁。西安北--华山北二等座59.5元。从西安北站出发，到达华山北的火车，每天运行好几列，华山北站出来后，有公交1路（免费）直接开到华山脚下的游客中心，全程耗时大概在20分钟左右。如果不选择公交，也可以拼车，一车20元（不打表）其实从华山北站出来到华山游客中心，全程5公里左右吧！爬华山真的很累，尤其是一天之内要走完五峰。我是西峰索道上，依次游览西峰（看日落最佳）--南峰（长空栈道）--东峰（鹞子翻身、看日出最佳）--中峰--北峰，再有北峰索道下。全程控制时间在6-7小时。第二天，腿不是自己的了~,
小李同志3321,425,4,2021.10.16,(地推）华山风景名胜区票+西峰摆渡车票（上行）+关帝庙景区票成人票, ,
A青盐,425,5,2021.10.25,华山风景名胜区（徒步登山）门票成人票,打卡华山（10月）夜爬说点简单的①带好保温杯，山上有商店，晚上的话偶尔会有还开着的，热水5元一次，有卖吃的（会贵点）②如果可以带件雨衣，有可能会下雨③登山杖个人认为没用，一路都有锁链的，可以抓着上，晚上也一直有灯，不用带手电筒之类的④带酒的话小瓶劲酒2瓶最好，喝不醉还驱寒（吃药别喝酒）⑤从门口上山跟着路线一直到北峰，9-10点出发3.4点的样子稳稳到，爬山别急，然后北峰离中西东南峰有些距离，大约到西峰需要2-3小时⑥看日出日落不推荐中峰，因为有棵树挡着，实在爬不动可以到仙掌崖看，那里视野还不错⑦山上有旅舍，环境以及外型还不错⑧山上有很多猫，想喂猫的话多带点吃的⑨手套帽子必备的，越往上越冷的，衣服拉链一定要拉！要不肚子冻硬你都没感觉的⑩从西安走的话坐高铁就可以，票价20-30，下午6:30以后没有大巴通华山，从渭南坐到华山至少150起步，如果选择晚上出发高铁直坐到华山北站，再打车要便宜点祝各位在华山能找到自己想要的，注意安全,
守己哈哈哈18,425,5,2021.11.16,华山风景名胜区（徒步登山）门票成人票,之前去过两次华山，但是当时天气比较好，这次是冬天去的 ，难度确实大了很多很多，本来想着封顶西风，结果到北风就没去了，越往上越滑，而且结冰很厉害，买了防滑链，但是也滑，人不多，山顶的住宿特别贵，心痛，我们时间没选好，太难受了。,
匿名用户,425,5,2021.10.18,华山风景名胜区（徒步登山）门票成人票,建议一定要从玉泉院，徒步登山，大概用了9个半小时走完北中东南西峰，有个四川的姐姐一块同行，身体素质超棒，一路走下来，忘记留个联系方式了，看见了记得@我，山东小伙，哈哈，腿都抽筋了，玩了一个鹞子翻身，挺险。人太多，很遗憾没玩长空栈道，最美的旅途永远在路上。,
rDl767186115,425,5,2021.11.23,华山风景名胜区单程北峰索道票, ,
我爱_milk,425,5,2021.10.11,(地推）华山风景名胜区票+西峰摆渡车票（上行）+关帝庙景区票成人票,华山唐:郑谷 峭仞耸巍巍，晴岚染近畿。孤高不可状，图写尽应非。绝顶神仙会，半空鸾鹤归。云台分远霭，树谷隐斜晖。坠石连村响，狂雷发庙威。气中寒渭阔，影外白楼微。云对莲花落，泉横露掌飞。乳悬危磴滑，樵彻上方稀。淡泊生真趣，逍遥息世机。野花明涧路，春藓涩松围。远洞时闻磬，群僧昼掩扉。他年洗尘骨，香火愿相依。,
EnM302893254,425,5,2021.11.17,华山风景名胜区（徒步登山）门票成人票,风景不错。有挑战性。徒步上山，确实有点累。人生当中一定要去华山走一趟。我们是爬了北峰，最高峰在南峰，西峰的缆车是最好的。最险的地方在，千尺瞳，白尺侠，我们去的时间是11月份，相对而言比较冷一些。山上还有雪，还有天梯是没开的。,
逆向工程研究,425,5,2021.11.20,华山风景名胜区（徒步登山）门票成人票,风景不孬，西峰索道太刺激了。作为山东人泰山都没爬过，先把华山爬了，征服五岳的第一个小目标达成了。,
守己哈哈哈18,425,5,2021.11.16,华山风景名胜区（徒步登山）门票成人票,中午开始爬的，到了晚上才到北风订，我们住了一晚上，价格很贵，真的难受，建议不要大晚上爬，太危险了，山上很滑很滑，里面吃的很多店都关门了，建议自己多带一点，山上风特别大，把防滑链一定弄上，我买的五十多块，价格还是挺贵的。,
行者無疆a,425,4,2021.09.18,华山风景名胜区（徒步登山）门票成人票, ,
aUC290811505,425,4,2021.11.25,华山风景名胜区语音导览票（不含门票）,登山真的超级无敌巨累， 但是登顶之后看到的风景简直了。付出也是值得的。玩了很多项目一天怕是都不够，后悔没有晚上怕，不然可以看日出，建议带上厚衣服，山顶真的超级无敌巨冷，冷的我直哆嗦。还有一些我不敢玩的项目,
虎啸龙吟Cc,425,5,2021.11.26,华山风景名胜区（徒步登山）门票成人票,体验感满分，全程徒步，东南西北中五个峰。上午八点上山，下午五点三十到达玉泉院山底。,
JBu634749467,425,5,2021.11.08,（经典玩法不走回头路）华山门票+单程西峰索道票+单程北峰索道票+单程北峰索道专线巴士票+单程西峰索道专线巴士票,「华山西峰」「华山北峰」「西峰太华索道」「日月岩」华山真的是去过一次还想去第二次的地方，坐在索道上看着山下，特别壮观。不是专业登山者，上山或者下山，一定要体验一次，一是省力，二是体验一下。山顶景色很美，云雾缭绕，仙气飘飘～,
nrc149428233,425,4,2021.09.16,华山风景名胜区西峰单程索道票军人/老人/残疾人票,索道很长，用铁塔分了好几段，每过一个铁塔就好像加速了一下，恐高的不要尝试。但你不坐索道还下不来，没有下山的路，整个华山东西南北中峰，只有北峰有个“自古华山一条路”，爬上北峰得4个小时，，其他4个峰转一圈又得4、5个小时，再从北峰走下山，好像不太现实，所以还得坐索道上下山，建议西上北下，西峰高于北峰，北峰爬到西峰太累了。个人认为最佳路线：乘坐景区里面的大巴车上西峰，40分钟40元钱；西峰索道20分钟140元钱；西—南—东—中—北峰步行，5个小时；北峰索道10分钟80元钱；景区里面的大巴车下山，20分钟20元钱。美好的一天结束！,
柒捌玖10,425,3,2021.09.23,华山风景名胜区票门票（徒步登山）,天气不好，没有看到日出，而且很多玩的都没开放，索道等都是关的，上去什么都没看看，光吹风了。         晚上9点爬的，正常3个小时就能爬上去，没难度，去的太早了，上面歇了会，一人50。          建议一人带两瓶水，带些面包，辣条都行，别带太干的东西，也不用带太多，山上确实贵，但也能接受。         还有就是鞋子要穿舒服，衣服要穿厚，,
oFy763560934,425,1,2021.07.29,华山景区往返直通车不限人群票（周内）, ,
OHx550244845,425,5,2021.10.02,华山风景名胜区（徒步登山）门票成人票,徒步上山，浏览了所有峰顶，用时12.35小时，其中鹞子翻身排队等了2小时，然后徒步下山，累并快乐着，   遗憾的是长空栈道要等3个小时只能留着下次二刷华山了     体力不好的下山一定要做索道，不说了我去揉腿了,
吃货困困崽,425,4,2021.11.14,华山风景名胜区（徒步登山）门票成人票,挺好的就是山上物价太贵啦！！风景蛮不错的！,
格来梅朵215,425,4,2021.10.23,华山风景名胜区（徒步登山）门票成人票,上下都爬的山，爬了九个小时，风景挺美的，山上东西挺贵的，最好自己带上,
乭弋,425,5,2021.09.16,华山风景名胜区（徒步登山）门票成人票,二零二一年九月十日晚上正好星期五，晚上学生很多一起徒步爬山很不错。根据本人体验，如果有相机，晚上八点就出发，半山腰就可以看到星空银河，不过银河得用相机长曝光才能拍出来，路上走走停停基本会在早上四点到达东峰。徒步上山不要走太快，因为拍照是关键，所谓的东峰看日出没有多大意义，晚上的星空才是关键，手机也可以拍，只要有三脚架,
