id,价格,评价,评价日期,票务类型,评论,
_qqk471397112859,418,5,2021.10.18,张家界核心景区武陵源4日成人票+导游服务,第一天是跟导游进去的，这次买的有免费导游的服务，向导游服务很好，路线规划合理，更重要的是态度非常好，人很友善。强烈不推荐散客当地跟团。这是第二次去的张家界旅游，第一次经历太惨烈，每次排队都要一个多小时。到当地后进了散客团，那个导游一言难尽。,
dhyzxy,418,5,2021.10.10,张家界核心景区武陵源4日成人票(张家界国家森林公园), ,
dhyzxy,418,5,2021.10.10,张家界核心景区武陵源4日成人票(张家界国家森林公园), ,
Zx.颜,418,4,2021.10.27,张家界核心景区（武陵源）4日成人票,挺不错的、张家界值得去,
匿名用户,418,4,2021.12.02,张家界核心景区武陵源4日门票成人票(吴家峪入口),风景不错，可以的，不错，风景【环境】很好，最近在微博追剧，现实直播很好看，希望大家都去微博搜索李学政，现实版反腐大剧，网友都是群演。,
wmr677063536,418,4,2021.06.15,张家界核心景区武陵源门票东门（吴家峪门票站）（成人票）（8:30-9:30）,第1天 天子山、杨家界，袁家界，十里画廊。第2天 金鞭溪、黄石寨。推荐天子山、袁家界、金鞭溪。第1天，武陵源标志门进，去天子山索道，上山后去天子山贺龙公园：仙女散花、御笔峰、天子阁、贺龙铜像。接着去杨家界，路程有点远，坐的小巴士，弯道太多，晕车。只去了天然长城，看到第1只猴子。然后去袁家界：天下第一桥、乾坤柱、断魂台。到了断魂台后不要往回走，直接走到大马路就有车坐。袁家界猴子多，不要去招惹，小心被抓，尤其是小朋友特别容易被欺负。接着去百龙天梯，因为下雨，又离观光玻璃远，所以全程无感。下山后去十里画廊，坐小火车往返，个人觉得景色一般，可能步行感觉会不一样吧。出来后回标志门。第2天，武陵源标志门进，去水绕四门金鞭溪。强烈推荐走完全程，路程虽然长，但景色很美，还可以和溪水零距离接触。我们边走边玩，用了3个小时。从金鞭溪出来就可以在大氧吧广场看到很多猴子。然后去黄石寨索道，黄石寨个人感觉景色一般，很多楼梯要爬，有些累。从黄石寨下山后就可以回大氧吧广场了，在这里，景区内是没有环保车回标志门的，要从南门也就是森林公园门票站出去后在景区大门口坐车回武陵源，10元一个人。,
Mno972291619,418,4,2021.10.01,张家界核心景区武陵源4日门票成人票(吴家峪入口),值得一去，耍两天比较轻松。记得穿舒适一点的鞋子哦,
赑勒爷,418,3,2021.12.02,张家界核心景区武陵源四日通票成人票（地推票）,不错的景点，要天气好去就更棒了,
超爱甜食静,418,5,2021.07.16,张家界核心景区武陵源4日门票成人票(吴家峪入口),真的很美！！！！我们一共玩了两天，在武陵源住了两晚，那边民宿有很多哦。中午到了先把行李放在民宿后就直奔武陵源风景区了，因为只有一下午的时间，想着就在山下玩玩。那天下着小雨，所以大家提前备好各种雨具哦，下雨的武陵源山下真的是太美了，青翠欲滴，空气清新，小猴子也超级可爱！！！第二天去山上玩了一整天，要带着吃的哦，不要乱扔垃圾哦，感觉风景还不如山下，可能最坑的是百龙天梯，好像60元每人，但是从上到下，没什么让人惊奇的风景，大概是在山中已经看了太多美景了。整体真的超美的，推荐！！！！,
匿名用户,418,4,2021.11.28,张家界核心景区武陵源4日成人票,风景都很不错，就是逛一圈下来整个人都废了,
匿名用户,418,3,2021.11.28,张家界核心景区武陵源4日成人票,还不错呢很喜欢，就是逛了三天有点累,
杨崽崽丶,418,5,2021.11.30,张家界核心景区武陵源4日门票成人票(吴家峪入口),好,
丶青寐,418,4,2021.10.05,张家界国家森林公园-武陵源四日+环保车成人票,虽然各种索道！但公园太大了！走了两天太累了…景色不错,
牵手鹿晗,418,5,2021.07.30,张家界核心景区武陵源4日门票成人票(吴家峪入口),风景很美，景区很大，提前做好攻略平台买票是最划算！进了张家界不要轻易相信任何人，一般跟团票价贵一半都不止！！从标志门进 然后乘坐百龙天梯上去就是迷魂台 阿凡达悬浮山 天下第一桥 十里画廊等！我把之前收藏的攻略一起放上了！！,
匿名用户,418,4,2021.11.20,张家界核心景区武陵源（儿童/老人/学生）4日票,金鞭溪的猴子很嚣张，被它抢劫了，大家要守住自己的零食！！！！,
cmc11251271,418,1,2021.11.10,张家界国家森林公园-武陵源4日成人票,景点工作人员素质差，没有服务意识。景点交通不便利一个字乱。,
心若止水1982,418,2,2021.11.09,张家界核心景区武陵源4日门票成人票(吴家峪入口),一般，很多景点都关了。除了阿凡达拍摄那里还不错，其他开放景点都觉得没什么可看的。,
匿名用户,418,3,2021.10.26,张家界核心景区武陵源（张家界国家森林公园）4日通票成人票,张家界一张门票能在武陵源景区玩4天，找个导游不耽误时间能不走回头路的玩好每个景点，总共玩了3天半，是一次轻松而快乐的旅行!,
匿名用户,418,3,2021.10.28,张家界国家森林公园-武陵源4日成人票,还可以吧，景区比较分散，我们从南门进走到十里画廊，就没有摆渡车回到南门停车场取自己的车，这个不太方便,
fhl655481661,418,2,2021.07.15,None,感觉一般，并没有那么惊艳。迷魂台真的迷（迷惑），不知道是我搞错了还是景区搞错了，自图一那上去是天下第一桥？我绕了三圈并没有什么特别的。  景区内一瓶怡宝6块钱。建议在外面自备水，空中花园也就那回事，百龙天梯高是高但是从电梯下方乘坐电梯的路上全是水，不知是返潮还是刚拖过地，因为是瓷砖地面所以有些滑老人小孩注意。现在就只想着赶快下去休息。  建议：没来的去看看天门山景区就好,
匿名用户,418,2,2021.11.13,张家界核心景区（武陵源）4日成人票,下雨天去，山上全是雾，什么都看不见,
书也沾了酒气O,418,5,2021.11.12,张家界核心景区武陵源（儿童/老人/学生）4日票,环境非常不错，很出片，推荐想拍照的来！,
li_fh,418,5,2021.10.17,张家界国家森林公园-武陵源4日成人票,这个地方真是好玩，就是景区的很多地方要收费，百龙天梯不坐都不行，价格太贵了！门票加索道400多，天门山的门票加那么长索道才200多。,
happy跳跳虎,418,5,2021.06.23,张家界核心景区武陵源4日门票成人票(吴家峪入口),上周一晚上从洛阳硬卧去张家界，到张家界已经是第二天上午九点多了。在张家界火车站附近的汽车站有去武陵源的汽车，13元票价，保险1元，到武陵源汽车站大约一小时左右。在附近的民宿休整完毕，下午一点多走路去武陵源景区（我们定的是标志门进的门票）。一下午的时间就玩完了袁家界这条路线。第二天玩的金鞭溪，金鞭溪很长的，这一天我们走路两万多步，一路上猴子很多，千万不要当着猴子的面吃东西，他们是会去你手里夺的。还挺怕的。张家界森林公园门票4天有效，我们只玩了一天半。其实有时间的话，可以在那玩3-4天，住在附近民宿里，环境也好，以后还要再去，到时候多玩几天！,
APK161066575,418,5,2021.11.13,张家界核心景区武陵源4日门票成人票(吴家峪入口),加油,
匿名用户,418,2,2021.07.25,张家界国家森林公园-武陵源4日成人票,景点风景漂亮，山独特。没得说，就是张家界景区服务太差，在景区环保车上问司机是不是去十里画廊的，想确定一下没上错车，司机直接回答，你问我我问谁？真是无语，出门在外不想和别人起争执，不想心情不好，后来就没理他，真是不明白了，不想多说话，就说是还是不是？很难吗？景区里每个景点还设置问询处，你过去问一下路，那人回答的就和没回答一样，一副爱理不理的样子，这么大这么出名的景区，服务怎么这么差？去之前就买好了票，可是美团只能买成人票。老人票和孩子票都不能买。打客服电话，态度也是可差，说系统问题，真不明白了，其他景区系统都好好的，怎么就你们系统有问题，到了之后早上排队买票买很久，浪费时间，除了景色好，其他服务就不要说有多差可,
xycook,418,1,2021.09.30,张家界国家森林公园（4日票）+土家风情园成人票,等票等了快一个小时，土司城游玩一个小时，等了一个小时，工作人员处理不了，只是让等,
TRa939575179,418,1,2021.10.13,张家界核心景区武陵源（张家界国家森林公园）4日票（儿童/老人/学生票）,7点半到门口，一直进不去，商家一直让等，9点钟还不能进去，最后到景区投诉，景区说不认可美团上面的商家。最后理论半天，该票没用，景区直接放我们入山,
乔碧萝殿下万岁,418,4,2021.10.16,张家界核心景区武陵源（儿童/老人/学生）4日票,武陵源还是值得一去的，风景好，猴子很不好，会抢吃的，胆子特别大，我们6.7个人都被猴子围了,
东北哥1047,418,1,2021.10.01,张家界国家森林公园（4日票）+土家风情园成人票,这个连票是真的坑，袁家寨子就是一个介绍当地土家的历史和卖东西的地方，竟然得七八十的门票，真的十块都不值，以后不在美团买票了，别的平台不卖这种联票坑人,
Dbr657248908,418,5,2021.10.25,张家界核心景区武陵源（张家界国家森林公园）4日通票成人票,非常漂亮，强烈推荐！,
UDt587047258,418,4,2021.06.18,张家界核心景区武陵源门票东门（吴家峪门票站）（成人票）（7:30-8:30）,端午节游览了武陵源风景区，7点从东门标志门进去，坐天子山索道，上午去天子山御笔峰贺龙公园，然后去大观园老屋场，下午去天然长城和袁家界，17点坐百龙天梯回去，一天游玩结束，整个行程，算是比较精华的。除了杨家界的一步登天那条线路时间不够，其他基本都去了。总体非常漂亮，尤其老屋场和迷魂台，超美！,
伊梦沫翾,418,2,2021.10.05,张家界国家森林公园-武陵源四日+环保车成人票,对这个门票很无语。她自动选择八点半之后，你打客服电话更改是改不了的。早到了也只能干等在那里。,
YLo112652859,418,1,2021.10.04,None,10月4号这个司机不顾客人安全开快车【交通】,
KxT482026596,418,5,2021.10.16,张家界核心景区武陵源4日成人票(张家界国家森林公园),景区交通便利，不需走太多陡路，带宝宝也可以玩，景区很大,
匿名用户,418,3,2021.10.18,张家界国家森林公园-武陵源4日成人票,不是太好玩 但也还不错 腿差点走断,
匿名用户,418,5,2021.06.22,张家界核心景区武陵源（儿童/老人/学生）4日票,武陵源的景色真的很美，特别是坐上索道的风景，还有金鞭溪的水清澈见底，里面还有各种小鱼小虾。武陵源给我最深印象就是猴子太厉害啦，家里人背的包猴子以为是好吃的，差点被猴子偷了东西，哈哈。还有游客被抢了酸奶，一路遇见各种带猴崽子的猴子，跟着游客要东西吃，又精又皮的猴子。,
oEY855362879,418,5,2021.07.21,张家界核心景区武陵源门票北门（天子山门票站）（成人票）（7:30-8:30）, ,
hssyx8888,418,4,2021.10.20,张家界核心景区武陵源4日门票成人票(吴家峪入口),非常好！遗憾的是天气不好。,
邻水阳光花艺,418,3,2021.07.25,张家界核心景区武陵源（张家界国家森林公园）4日票（儿童/老人/学生票）,景色好看，路线设计得不座缆车或者电梯，脚要走断。游览时没有人推荐怎么走，景区地图没人解释是看不懂的，坐车司机不提示往那里开，下一站是那也不会通知，我要去百龙天梯，结果把我拉到了十里画廊。景色没得说，服务一般。,
