id,价格,评价,评价日期,票务类型,评论,,,,,,,,,,,,
SJu535414851,42,5,2021.11.28,颐和园淡季成人上午场大门票+金牌导游深度讲解（不含园中景点门票）,乐享天天导游阿红，极其棒极其负责的导游，非常优秀有内涵，从东宫门开始每个景点都不落下，也是太辛苦了，游客都走的有点累，导游也是辛苦了，谢谢。自己了解了更多的历史典故。强烈推荐给大家，认真负责内容丰富，一次极好的游览体验，有机会带朋友来再体验一次。,,,,,,,,,,,,
aFU577947903,42,5,2021.11.16,颐和园旺季成人（下午场门票）,中国清朝时期皇家园林，前身为清漪园，坐落在北京西郊，距城区15公里，全园占地3.009平方公里(其中颐和园世界文化遗产区面积是2.97平方公里)，水面约占四分之三。[31]与圆明园毗邻。它是以昆明湖、万寿山为基址，以杭州西湖为蓝本，汲取江南园林的设计手法而建成的一座大型山水园林，也是保存最完整的一座皇家行宫御苑，被誉为“皇家园林博物馆”。强力推荐^0^,,,,,,,,,,,,
SJu535414851,42,5,2021.11.28,颐和园淡季成人上午场大门票+金牌导游深度讲解（不含园中景点门票）,乐享天天导游阿红，非常优秀的一个导游，非常负责，从头到尾讲的非常详细，也给大家拓展了许多知识点，非常幽默风趣，从东宫门开始一路讲解也是非常辛苦了，强烈推荐给大家，认真负责内容丰富，一次极好的游览体验，有机会带朋友来再体验一次。,,,,,,,,,,,,
violet2018,42,5,2021.09.18,None, ,,,,,,,,,,,,
Fish_游,42,5,2021.11.20,颐和园旺季成人（下午场门票）,非常好，天气也不是很热，人很多，但是景色是真的很美哦，北京的景色确实不一样，好看，美，这次的出行时间比较短只去了几个地方，下次一定把时间安排的好好的，去更多的地方看看，去长城，后海，香山等地方去看一看，美团上的票特别的方便使用，很好哦，推荐大家在美团上购买哦，美哦。,,,,,,,,,,,,
W了饿,42,5,2021.11.10,颐和园旺季成人（上午场门票）,就拿个门票去里面慢慢逛，里面超大的，遗憾的是没摸神兽，神兽在正门，我们没走到正门，里面太大了，据说摸神兽可以带来好运，好可惜，去看看古建筑，小房间都是锁着的，记得带点吃的喝的，里面卖的比较贵，还想再去。,,,,,,,,,,,,
王婷199111,42,5,2021.11.13,颐和园淡季成人上午场大门票+金牌导游深度讲解（不含园中景点门票）,一整个下午的讲解，乐享天天的崔屹导游姐姐非常幽默，非常直爽，各种典故信手拈来，一步一景，一步一故事，还帮忙拍摄照片,,,,,,,,,,,,
littleZhan0727,42,3,2021.11.16,颐和园旺季优惠（上午场门票）,十月一去的 人是真多啊 颐和园太大了 走远了 不想走了最后坐船回来的,,,,,,,,,,,,
poN677144021,42,5,2021.11.27,颐和园淡季成人下午场大门票+金牌导游深度讲解（不含园中景点门票）, ,,,,,,,,,,,,
xiaoxiao砖头,42,5,2021.10.01,颐和园旺季成人（上午场门票）,还不错 里面比较大 建议下午去比较好 可以看到日落照过来的景会非常好看 由于时间来不及我还是选择早上去的 可以去看看感受下以前的文化  北京游玩一趟这个地方一定要去看看 进口的话个人建议北门近比较好 我个人只游走来半圈 一整圈的话会比较累 除了走就只有选择坐船了 在湖边走走吹吹风会感觉生活很惬意 里边还有好多文艺人有画画写毛笔字的 走到那里会感受到人间生活的气息,,,,,,,,,,,,
匿名用户,42,5,2021.11.30,颐和园淡季成人上午场大门票+金牌导游深度讲解（不含园中景点门票）,好好好～值得一来，崔导游非常棒～讲得非常生动有趣，值得推荐。颐和园景色也美。,,,,,,,,,,,,
匿名用户,42,1,2021.10.15,颐和园成人上午场票+紫竹院公园票+皇家御河游直达颐和园单程船票（紫竹院出发）,我买之前一直以为是在颐和园上船游玩，根本不是，只是坐船给送到颐和园，正点开船很耽误时间，必须在那等着，不如自己进去玩了，送的紫竹院就是免费游览的。不到1米的孩子还得收费50，信息里面根本没有提示，我质疑了一下，妈呀那个态度，服，我外地人不敢说。船上半座都是空的，希望看到评价的不要再被坑了，我美团上从来不评价，这次真是气到了。那条河根本不值得坐船游览，都是啥啊！,,,,,,,,,,,,
Y南筱,42,3,2021.10.26,颐和园旺季成人（下午场门票）,环境不错，和朋友去闲游，是值得一去的好地方。里面的地方特别大，不嫌累的话可以满足走路逛逛的需求，如果怕累，可以坐船，能游一大圈，而且票价也不贵，好像一个人才三十。里面有好多地方，还有很多说法，可以提前自己了解一下，到时候逛的时候不会乏味。,,,,,,,,,,,,
lwK623219032,42,1,2021.10.04,颐和园优惠下午场大门票+金牌导游深度讲解（不含园中景点门票）,美团误导外地游客，打开美团就跳出来学生票本人没有注意，买错票退票买成人票还不能退票，建议大家去公众号订票，打了一天电话美团商家电话退款，相互推责任导致我浪费了204。最后还是在去景点让工作人员帮忙重新买的。公众号30一个成人票，美团成人票88。,,,,,,,,,,,,
饭罪团伙X,42,5,2021.10.09,颐和园旺季优惠（下午场门票）,门票算同级别非常低的了，学生还可以打半价，空气非常清新，还可以划船，价格还实惠，介意多带几个小伙伴一起去玩，划船亲近一下十七孔桥，拍一组美照。交通也方便，坐地铁可以直接到景区门口，小伙伴们去的时候千万别带火机，因为景区是禁火区。,,,,,,,,,,,,
Heo432519865,42,5,2021.11.17,颐和园淡季成人下午场大门票+金牌导游深度讲解（不含园中景点门票）,乐享天天阿红导游，服务态度很好，风景名胜讲解详细，学到了很多历史知识，不错的体验。,,,,,,,,,,,,
匿名用户,42,4,2021.11.17,颐和园旺季成人（上午场门票）,没有交通工具，自行车什么的，进去就是走，好大的公园，好累！,,,,,,,,,,,,
Morii1015,42,2,2021.11.27,颐和园淡季成人（下午场门票）,苏州街门亭里那俩女的 态度极其恶劣 其中有一个特别差劲 颐和园这么多外地人来旅游 觉得这样的态度好吗 给人带来什么印象 问从哪里走 爱答不理 直接说什么买票 问什么也不回答 俩人就在那聊天 这种人也配在颐和园里？？ 评分一般都是冲着这俩人,,,,,,,,,,,,
LoV471925046,42,5,2021.10.02,颐和园旺季优惠（上午场门票）,是和同学在中秋节的最后一天去的，感觉人也没有想象的那么多，但是因为里面有的地方在施工，所以进不去。在半路遇到一个导游，感觉挺有意思的，讲的也很不错，了解了很多奇闻轶事，可惜后来身体有点不舒服，没有逛完。里面很大，想逛完还是需要花点时间的。不过比起故宫的气派，这里很自然，也很舒服，不愧是养老的地方。感觉下次来玩这些景点还是需要提前了解一下他的历史底蕴和一些传闻故事，会更有意思。,,,,,,,,,,,,
ETt447659347,42,5,2021.11.27,颐和园旺季优惠（上午场门票）,景色怡人，山明水秀，设施齐全，皇家风采，适合各个人群。人生值得来一次。,,,,,,,,,,,,
BSm605088499,42,5,2021.10.18,颐和园成人下午场大门票+金牌导游深度讲解（不含园中景点门票）,乐想天天的导游阿雷讲解太有趣了，关键人也很帅，哈哈哈。地道北京人，讲解跟听评书似的，哈哈哈哈哈，非常好讲解很棒，能听出来知识储备很丰富很不错。颐和园太大了，讲解有时间的，建议可以早点过来先自己玩一玩拍拍照，然后再集合专心听讲解。,,,,,,,,,,,,
DSi276008529,42,5,2021.11.17,颐和园旺季优惠（下午场门票）,这个地方真的适合各种人群来玩来体验呀，好评噢这个地方真的适合各种人群来玩来体验呀，好评噢被朋友种草来的，今天第一次来，果然跟朋友描述的一样，非常赞！被朋友种草来的，今天第一次来，果然跟朋友描述的一样，非常赞！,,,,,,,,,,,,
匿名用户,42,5,2021.10.19,颐和园成人上午场大门票+金牌导游深度讲解（不含园中景点门票）,跟着导游社外出已经成了习惯，但这次运气特好，遇到一个博学多才的导游。普通话说得好，吐词清晰，出口成章，一路行来，听他的解说，尤如听着一首优美的诗，一首抒情的曲。强烈推荐阿红导游，好评！,,,,,,,,,,,,
BSm605088499,42,5,2021.10.24,颐和园成人下午场大门票+金牌导游深度讲解（不含园中景点门票）, ,,,,,,,,,,,,
IA185,42,4,2021.10.03,颐和园旺季成人（下午场门票）,和女友的北京之旅的第三站，作为必去景点的颐和园自然是要上榜的，我觉得下雨欣赏颐和园算是别有一番风味。类似园林的记忆和美丽的湖景。赶上淅沥小雨，但整个景区的照明可不太好，路况湿滑可得注意!而且厕所分布不均匀!各位注意行程吃喝安排哦!,,,,,,,,,,,,
lanluo佳钰,42,5,2021.11.12,颐和园成人门票,入园前均可购买,里面就不用说了，巨美，景色尽收眼底。走了一天才逛完，中午累的时候就在公园睡一觉，很惬意，景色也很好。一个人走走停停，欣赏更多的美景。团购也超级划算的。建议大家进来带点吃的，里面的吃的都很贵。有机会还会再来的。,,,,,,,,,,,
GZt845278321,42,4,2021.10.23,颐和园淡季成人门票,【交通】公交地铁是首选交通，自己开车停车麻烦！（项目】颐和园的大就不用说了，-天啥也不用干，就溜达这也不一定溜达得明白！我去了好几次，每次都是没有目的，看到哪溜达到哪！【餐饮】不方便！还是所有景区一样的缺点，贵且不好吃！,,,,,,,,,,,,
懒羊羊干饭王,42,5,2021.10.22,颐和园旺季成人（上午场门票）, ,,,,,,,,,,,,
山神与少女,42,4,2021.10.27,颐和园旺季成人（下午场门票）,秀玉初成实，堪宜待凤凰。竿竿青欲滴，个个绿生凉。                      ——最美皇家园林-颐和园,,,,,,,,,,,,
沙漠5376,42,4,2021.10.28,颐和园旺季成人（上午场门票）,园子很大，需要走路，轻轻松松破两万步数，坐船是固定航线，老爷子腿脚不便，园区提供免费轮椅只有几个，排不上队，如果有需要推荐大家携带自己的轮椅。门挺多，打车好打。,,,,,,,,,,,,
yON541641353,42,5,2021.09.29,颐和园成人下午场大门票+颐起听电子讲解（不含园中景点门票）,秋风瑟瑟，林鸟活泼西堤曲径无人过，梦回前朝意蹉跎人生悲喜需自渡，唯有花香入心河出发的时候还下着雨，到了目的地就出了太阳，原来一直朝着太阳的方向前进终究会遇到晴天。,,,,,,,,,,,,
宛宛吖skybaby,42,5,2021.09.11,颐和园门票+资深导游讲解+龙舟游船成人票（东宫门入园每15分钟一场讲解）, ,,,,,,,,,,,,
爱幻想的鱼yu,42,5,2021.08.20,颐和园旺季成人（上午场门票）,和闺蜜7月份去北京一起去玩的，那天天气挺热的，人也有点多，不过好在颐和园很大，树也很多，走在路上有阴凉遮着，很舒服～在湖边吹着风，看着湖边的美景，觉得超级惬意，和朋友坐了游船，真的是很明智的选择，我记得游船是30米一张，可以坐在船上看颐和园的整个美景，建议大家坐在靠窗的位置，我和朋友是一前一后坐的，两个人都可以近距离地接触湖景，很棒～在船上的时候看到还有很大一圈，那天人有点多，我们就大概看了一下，打算以后天气凉了，再去北京的时候完整地逛逛～,,,,,,,,,,,,
想念外星人,42,5,2021.08.19,颐和园旺季成人（下午场门票）,颐和园真不愧是皇家园林，真的是太美了太壮观了从北宫门进，新建宫门出，这个路线的网红景点都能依次打卡到：苏州街—智慧海—石舫—艺术长廊—云辉玉宇牌楼—乐寿堂—仁寿殿—知春亭—十七孔桥—铜牛周一去的，佛香阁不开门，挺坑的，8.2号去的，天气真的好热还带着孩子，好在天空作美，昆明湖游船30一位不往返,,,,,,,,,,,,
小哥哥的胖二狗,42,5,2021.10.11,颐和园旺季成人（上午场门票）,今年再一次和先生一起去北京旅行，第一站先去了颐和园，风景如画，美不胜收，环境宜人，和先生一起漫步园中，很是悠然自得，中午时分，园中有一些老年人正在合唱，感觉非常文明，听着叔叔阿姨们的大合唱，感觉很是岁月静好,,,,,,,,,,,,
WwM588545915,42,5,2021.10.23,颐和园成人下午场大门票+金牌导游深度讲解（不含园中景点门票）,乐享天天导游催大姐，讲解很有意思，讲了很多建筑、树等的故事和历史典故，比自己瞎逛颐和园有意思多了，不仅拍了很多好看的照片，还涨了知识。崔大姐不仅帮游客拍照，还教游客怎么拍照。给她点个赞！,,,,,,,,,,,,
hrr271667690,42,5,2021.08.28,颐和园旺季成人（上午场门票）,【环境】干净，舒适，园内很美，绿植很多。【交通】乘坐地铁四号线到北宫门下车，往回走三四分钟就到了，很方便。【项目】门票是三十块钱，里边佛香阁推荐去，虽然台阶很多，很高，但是爬上去可以看到整个湖，太美了，佛香阁是单收费的，成人10元，孩子五元，不贵，当然也可以买联票，就不用单花钱了。   景区里买的这个冰棍是16元一根。吃着不错，属于创意的。推荐大家去,,,,,,,,,,,,
pMX312944518,42,4,2021.10.30,颐和园旺季成人（上午场门票）,风景优美~置身其中感觉穿越了一样,,,,,,,,,,,,
Ronnnnnnnnnnnn,42,5,2021.10.09,颐和园成人上午场大门票+金牌导游深度讲解（不含园中景点门票）,在美团上没买到当日票，就买了个讲解票，去了景区门口发现可以现场买当天的票，我服了…不过导游讲解还是挺好的，乐享天天孙岛服务态度很棒，讲解的细致，人也很棒，所以也挺好的吧。颐和园比较大，有机会再过来逛一下。,,,,,,,,,,,,
小豌豆糊糊,42,5,2021.11.22,颐和园淡季成人下午场大门票+金牌导游深度讲解（不含园中景点门票）,乐享天天导游崔毅老师讲的真好很生动，很认真，还给我们拍照，很热情，超级nice,,,,,,,,,,,,
哎呀我滴娘亲,42,4,2021.09.30,颐和园成人门票,入园前均可购买,我们去北京颐和园的时候是2017年4月那时候的北京满天的树毛毛而且很热，不过我比较喜欢那里天气温暖景色宜人，大朵的芍药开的格外艳丽，开满花的长廊遮阴凉爽适合小息在长廊可以看到不远处湖中景色，可惜没去到湖的另一边有机会一定要去看看,,,,,,,,,,,
