id,价格,评价,评价日期,票务类型,评论,,
包bear,225,5,2021.11.21,None,“大漠孤烟直，长河落日圆”说的是敦煌鸣沙山及月牙泉周边景象。鸣沙山怡性，月牙泉洗心，唐人王勃当之无愧成为代言人。我N年前第一次去鸣沙山，因为风大，牙缝里塞满黄沙，还把奥林巴斯相机毁了一半（细沙吹进镜头）。第二次看到了日落，可惜当时还没即时社交工具微信。,,
穿云叶,225,5,2021.09.28,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,我们机组来敦煌飞航拍半个月了，一直没有时间去沙漠，去月牙泉看看。昨晚上我们机组从机场回来的路上，机组说完成我的一个心愿，然后我们就直奔月牙泉了，到了月牙泉都很晚了，按照规定过了时间点就不让进了。在此特别感谢月牙泉景区的工作人员，在请示他们领导后。让我进去了，让我可以不留遗憾的离开敦煌。月牙泉的景色实在是太美了，在此向敦煌月牙泉景区的工作人员致敬，非常感谢你们的通融，让我很愉快的离开敦煌！,,
Blossoming945,225,5,2021.09.24,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,非常好，值得游玩，我们去到天气也十分晴朗，鸣沙山干净漂亮，踏上沙山看起来容易，而细柔的五色沙让你感受柔中带刚，走走歇歇的山路，可以回头俯瞰月牙泉的美丽，碧玉高楼，沙漠中的翡翠明珠形容起来似乎不够，亲自入境其中切身感受各自有不同的体验。对了沙漠直升机，滑翔伞，越野车惊险刺激值得体验「月牙阁」「乘骑骆驼」「月牙泉」「鸣沙山」「滑沙」,,
米妮方头仔,225,5,2021.10.05,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,骑骆驼和摩托车推荐 虽然价格不便宜（骆驼100，摩托车120）但是很值得 防沙鞋套门口有租 15元一次 无押金 不怕进沙的小伙伴也可以不用租 我就没租 但是鞋里全是沙子 头发里也是沙子（建议带上护发素回宾馆好好洗洗）爱美的姑娘们拍照记得穿鲜艳衣服 不要怕冷怕热怕风沙 尽情舒展自己～,,
uKC399770433,225,1,2021.10.07,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,这个带沙画瓶的套餐就是骗人的！大家千万不要上当！还不如直接去景区买单独门票，110块钱，然后夜市上到处都是沙画瓶卖的，只要10块钱。这个沙画瓶要领的话，还要自己加供应商微信，然后自己打车去领。像我们这种从外地过来旅游的，都是赶时间的，领取时间一会儿一变！早上赶行程，好不容易到了，又跟我说九点开门！不退款，不邮寄，就是多收的钱。虽然一个沙画瓶没多少钱，在这划到20左右，但是一天那么多订单呢，到底有多少人去领的呢？没去领的就当自己放弃了，那多出来的钱去哪了？平台拿了？供应商拿了？负责人拿了？还是被谁分摊了？我们又不是自愿要买这种套餐票的，平台为什么不放单独门票的订单呢？目的就在这吧？这是我买的最差的一个订单了！买过的，大家看看，有多人去领了？没买过的，千万千万不要上当了，直接景区门口买票也挺快的。,,
YzZ504327068,225,3,2021.11.26,鸣沙山月牙泉门票成人票, ,,
Chn11437659,225,1,2021.10.07,【成人票】鸣沙山月牙泉票（含沙画瓶）,真坑，景区实际门票110元，到景区可以随时买票，提前在平台购票135元实际多出25元，平台上说的还有沙画瓶到景点后到处问了景点客服才知道平台订单上一个小字备注：沙画瓶是到另外一个地方自取（高德地图导航居然没有这个地址），还不邮寄必须自取！试问出来旅游会特意为了一个沙画瓶专门到另外一个地方自取吗？根本就是挣昧心钱，估计来回车费都不够还耽搁行程时间，建议平台少些套路不要弄些虚拟套票以客户实际需求为准，请不要欺骗外地游客，25元钱不多但被骗的人多了加起来也不少，吃相确实太难看，这次西北自驾游7天，唯一就月牙泉给了超级不好的印象，太坑，特坑，超级坑，吃相太难看。,,
three胖,225,3,2021.10.01,鸣沙山月牙泉门票成人票,哈哈哈来夸夸店员，太会拍照了，还指导我们怎么拍好看，不得不说，太有感觉了，有内味了跟着导航特别好找，停车也很方便，上菜也很快，推荐！门口就可以停车，停车位也很多，非常nice不限时这一点真的爱了，可以慢慢悠悠的享受整个过程，被治愈了环境非常不错，很出片，推荐想拍照的姐妹来！,,
夏日乌云,225,1,2021.10.08,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,在这商家订票比景区购买门票贵20元，景区没有限流的情况下订票还贵，未消费提前致电不能退款。网络订票一般是有优惠和方便才选择，像这种又贵又不能退的商家为什么还要选择。美团官方联系了几天都联系不到商家,,
nQt843047070,225,3,2021.10.02,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,沙漠风景是好看，还有玩乐的项目都可以，就为了看个月牙泉，130着实有点小贵。,,
