id,价格,评价,评价日期,票务类型,评论,,,,,,
大学生创业之家,519,5,2021.11.04,黄山风景区成人票,徒步.上山游客建议从云谷寺登山到白鹅岭，约需3小时，爬坡难度相对较小，景色更好。从慈光阁爬山到山，上迎客松约需4小时，爬坡难度较大。14乘缆车游客无所谓哪条路线。玉屏索道.上山离迎客松，莲花峰较近。云谷索道.上山离光明顶较近。;黄山莲花峰与天都峰实行轮休养护制度，目前莲花峰开放，天都峰已轮休，约需3-5年才能开放。观日出地点主要有:清凉台、曙光亭、狮子峰、光明顶、丹霞峰等地。观日落地点主要有:排云亭、光明顶、白鹅山庄。黄山住宿: 住宿推荐住在黄山脚下的汤口镇，我住的是名宿，名宿老板负责给送到换乘中心，后面一天去宏村，也帮忙联系车子，服务的很棒，很满意，黄山是非常值得推荐的。,,,,,,
end439156926,519,5,2021.10.25,黄山风景区成人票,黄山攻略抵达黄山北站之后，30元乘坐旅游巴士，抵达游客服务中心，先在山脚住了一晚，很便宜60元，第二天早上六点从宾馆出发，19元乘坐旅游专线车抵达后山云谷寺，坐索道抵达上站，才开始正式爬山，后山的路都是很平缓，大多都是下山路，只有去光明顶那段有一个爬升，从索道上站→始信峰→黑虎松→梦笔生花→清凉台→猴子观海→光明顶，光明顶是西海大峡谷和前山迎客松和后山景区的分界线，从光明顶去往西海大峡谷，有一个飞来石也是著名景点，参观完飞来石原路返回光明顶路上，经过一个小山峰叫群峰顶，也值得一看，而且并不高只有50米，光明顶→飞来石→群峰顶→光明顶，用了一个小时，从光明顶→鳌鱼峰→鳌鱼洞途中经过一线天，但是一线天是单行线，从后山爬山的方向是不能上的，所以没去一线天，从鳌鱼洞去往莲花峰就错过百步云梯，本来是应该从后山的方向上莲花峰，从前山方向下，但是前山下的路太陡太吓人了，于是又从上山路原路返回的，最后才到了迎客松，时间来得及从迎客松步行下山至前山慈光阁，这一段是没有坐索道的，但是步行下山太累了，建议大家上山的时候还是坐索道吧，否则上山会用尽你的体力。索道从后山上，步行前山下，一共用时九个小时。,,,,,,
end439156926,519,5,2021.10.25,黄山风景区云谷索道上行成人票,先是从青岛北站乘坐动车抵达杭州站，从杭州站乘坐地铁抵达杭州东站，从杭州东站乘坐高铁抵达黄山北站，从黄山北站乘坐汽车抵达黄山游客服务中心，先在山脚住了一晚，第二天早晨六点多，从黄山游客服务中心乘坐旅游专线公交车抵达后山云谷寺，真不容易，从后山云谷寺乘坐索道上山，迎客松是在前山的位置，以为大家都去看迎客松，后山人会少，结果早晨的时候所有人都是去后山的，没有一个去前山的， 黄山上有很多岔路，地图上并不是所有的岔路都标注的那么明显，有些岔路甚至没有标志，但是没有标志的那些岔路，实际上是起分流作用的，无论走哪条路，都不会迷路，虽然我手握地图，可是岔路太多，从猴子观海处最后我也不知道我走了哪条路去了光明顶，因为保护黄山环境，黄山上的宾馆是不能洗床单被套的，只能由挑山工挑到山下洗好之后再挑回来，如果大家在黄山山顶住宾馆的时候，一定不要嫌弃床单被套不干净，本来我们住在山上的宾馆，也不是为了干净住的，而是为了方便。从迎客松方向步行下山，用了两个半小时，我爬山既不是最快的，也不是最慢的，但是下山这段路真的累，所以建议大家上山的时候一定要坐索道，否则上山的这段路已经会消耗大部分的体力，下山视体力而定。,,,,,,
oMd11684091,519,4,2021.10.24,黄山风景区门票南大门成人票（云谷索道方向）,黄山的旅游产业，发展的很成熟，前一天从上海高铁出发，到达黄山汤口镇，山下相对住宿比较便宜，在网上订好酒店以后，酒店就会电话联系，问你什么方式到达，几点钟到达，酒店会安排好车子，高铁站接送服务30块一个人，高铁站到达汤口镇酒店40分钟左右，然后晚上七点钟酒店会对客人进行一个解说，针对不同人群，进行不同的线路选择，有意向的酒店可以提供导游服务，加收63块一个人，我选择了导游服务，并且选了一条最轻松的路线，早上七点吃完早餐出发，酒店安排车子送到北大门，40分钟左右，做太平索道上到山顶，然后一路下山路线，走西海大峡谷，做网红小火车上山，到白云宾馆，前面爬山十几分钟左右到达光明顶，拍照风景还可以，返回白云宾馆，吃饭自备，下午经典路线，登莲花峰打卡迎客松，玉屏索道下山，景区大巴车到汤口镇，酒店安排车子送到高铁站，硬性消费单人两日1500＋，时长早上7点半出发，下午5点到达酒店，,,,,,,
桃子n,519,3,2021.12.03,黄山风景区成人票,这两天闲着没事 约了朋友一起来爬黄山 先从高铁站到黄山脚下 开了一家酒店准备休息一晚第2天养足精神出发 黄山票价200 加上上索道跟下索道 差不多要四百块了 性价比不是太高 有点小贵 不过看到黄山的风景也很值了 黄山不愧是中国名山 百闻不如一见 风景还不错 我们从后山出发的 先上索道 索道途中的风景可以拍拍照 坐索道的时候还有点小怕怕 下了索道之后就开始往上爬 我们从后山一直爬到了前山 途中上了光明顶 光明顶上面真的好冷 风飕飕的一定要多穿点衣服 对于我这种长期不锻炼的人真的快坚持不住了 感觉路好长 从9点爬一直爬到三点才下山  我竟然爬下来了 不可置信 还是挺自豪的 给自己点个赞 这次的旅途还不错 推荐大家来看看黄山的美景,,,,,,
匿名用户,519,5,2021.10.08,黄山风景区门票南大门成人票（云谷索道方向）, ,,,,,,
zxq子木,519,5,2021.10.12,黄山风景区成人票,不辜所望啊！【环境】真的超级有野态的！很多地方没有栏杆还是蛮危险的！今天来的风超级大！5点左右云海已经将光明顶酒店给淹没了。酒店的门口都是烟雾缭绕的。我定的光明顶酒店:原本选的标间和单间，可惜手速不快，单间大床房很快就没了，于是就定了两个标间的。用的是飞猪旅行点买的，所以要比美团其他APP便宜一点。【交通】我们从南大门进来买票花做到慈光阁。车票人均22，加保险共又花了88元。然后做缆车到玉屏索道，人均90共360元。晚餐吃的自助人均160共640元。建议自助比点菜划算。还送了早餐券。【项目】我们顺路为了到光明顶，我们玩了迎客松，一线天，鳌鱼峰，百步云梯超级抖的，文章花岗岩，驮金龟等。【餐饮】山上的东西都比较贵，有能力可以带点自热饭和水。千万不要带汤水容易伤树木。最后一点:一定要选择大晴天！不然看不到晚霞和早霞。,,,,,,
肥嘟嘟嘟嘟左卫门,519,5,2021.10.09,黄山风景区门票南大门成人票（玉屏索道方向）,有倒是五岳归来不看山，黄山归来不看岳。黄山的风景真的绝美，非常非常的震撼，给大家留个攻略，我的话是从云谷寺索道上，接着始信峰，梦笔生花，石猴观海，西海饭店，排云亭，然后西海大峡谷内环，内环下到底，步仙桥，然后坐火车上来，光明顶，海心亭，莲花峰，熬鱼洞，迎客松，玉屏索道下山。其中西海大峡谷真的必须去走一遍，很险峻，但很美，带着小孩老人的一定要注意安全，我自己是早上七点就出发，全部行程一天走完，下山的时候差不多三点半。我个人的脚步很快，体能不好的人可以在山上住一晚，能看日出日落还有星空，我自己走完脚疼了一个礼拜，不过非常值得。,,,,,,
水美汐,519,3,2021.10.10,黄山风景区云谷上行索道票-成人票,国庆假期去的，人满为患，特别是坐接驳车和缆车的时候，排起长龙队，一直在排队在排队，从云谷索道上的，到西海大峡谷后又坐地轨去玉屏索道方向走，虽然来来回回有坐索道和地轨，但还是真真的累断腿！中间的时候腿就在发抖！因为台阶实在太多了，多数地方台阶不但多还特别陡，要手脚并用啊，建议就是穿舒适的衣服鞋子，可准备手套，该吃的时候吃好以补充体力！下山时如果有时间一定一定要做个足浴舒缓腿脚疲劳，不然第二天甚至下山后起，你的腿就别再想好好走路了,,,,,,
水美汐,519,3,2021.10.05,黄山风景区门票南大门成人票（云谷索道方向）,国庆假期的景区真的是超级多人啊！！！刚刚进入景区就开始排队，排很长很长的队，健康码，行程码，口罩，身份证要提前准备好啊，根据自身情况购买拐杖，手套等，因为有很多地方要手脚并用，去之前要多研究研究天气，包括周边的也都看一下，山里阴晴不定，看到有概率下雨的话最好还是带上雨衣，雨伞不方便！一定要准备舒服的鞋子和衣服啊！不然会走断腿的！,,,,,,
